Summary,Issue Type,Priority,Description,Labels,Epic Name,Story Points
Low match alert banner with targeted CTA,Story,High,"When keyword match score is below 50%, show a prominent banner below the score bar with a clear call to action (e.g. See what's missing or Re-tailor with aggressive intensity). Visible to all plan tiers.",keyword-match,Low Match Score Guidance,2
Gap Analysis card: AI identifies unaddressed JD requirements,Story,High,"When score is below 50%, show a new Gap Analysis card below the keyword match card. Call Claude with the JD and tailored resume to identify which specific requirements are not addressed. Return a structured list of gaps with brief explanations. Gate to Starter+.",keyword-match,Low Match Score Guidance,5
Actionable suggestions: specific bullets or sections to add,Story,High,"Extend the Gap Analysis card with concrete suggestions: specific bullet points the user could write or sections they could add to close each identified gap. Gate to Starter+.",keyword-match,Low Match Score Guidance,5
Skills to add list: JD requirements absent from resume,Story,Medium,"Show a distinct list of skills or qualifications mentioned in the JD that are genuinely absent from the resume profile — not just missing from the tailored text. Help users identify real resume gaps vs tailoring gaps.",keyword-match,Low Match Score Guidance,3
Pre-tailor role fit estimate before tailoring begins,Story,Medium,"On the tailor form, after the JD is entered, show a rough fit estimate (e.g. ~40% match based on your resume) before the user submits. Helps set expectations and informs intensity selection. Use a fast Claude Haiku call on JD + resume summary.",keyword-match,Low Match Score Guidance,5
Result Quality & Actionability,Epic,High,"Post-generation experience ends abruptly with no confirmation, no summary of what changed, and no clear next step. Small improvements here have high emotional impact.",ux,,
Change summary: bullets rewritten and new keywords added,Story,High,"After tailoring completes, compute and display a brief change summary: X bullets rewritten, Y new keywords added, Z sections reordered. Calculate by diffing base and tailored text server-side.",ux,Result Quality & Actionability,3
Success toast notification when generation completes,Story,Medium,"Show a brief toast notification (e.g. Your tailored resume is ready!) when the tailoring API call resolves successfully. Use a lightweight in-app toast component.",ux,Result Quality & Actionability,1
User rating on tailored result (thumbs up/down + optional reason),Story,High,"Add a thumbs up / thumbs down rating widget at the bottom of the tailored resume result page. Store in a new TailoredFeedback table. Optionally collect a short reason (text select or free text). Feed signal into prompt iteration.",ux,Result Quality & Actionability,3
Apply to this job quick-link when JD URL was fetched,Story,Medium,"When the user fetched the JD from a URL, show an Apply button on the result page that opens the original job posting in a new tab. Surfaces the most natural next action after viewing the tailored resume.",ux,Result Quality & Actionability,2
Email resume to yourself,Story,Low,"Add an Email to me button that opens a mailto link with the tailored resume text in the body and a pre-filled subject line. Useful for mobile users who want to copy/paste from their email client.",ux,Result Quality & Actionability,2
Cover Letter Enhancement,Epic,High,"Cover letter is generated once with no refinement options. Tone control and regeneration are table-stakes expectations in AI writing tools and increase perceived output quality.",cover-letter,,
Tone selector before cover letter generation,Story,High,"Add a tone selector (Professional, Concise, Enthusiastic, Formal) before the user generates a cover letter. Pass the selected tone as an instruction to the cover letter prompt.",cover-letter,Cover Letter Enhancement,3
Regenerate cover letter with new tone or custom instructions,Story,High,"Allow users to regenerate an existing cover letter with a new tone or additional instructions without navigating away. Add a Regenerate button alongside the existing cover letter output.",cover-letter,Cover Letter Enhancement,3
In-browser cover letter editing with auto-save,Story,Medium,"Replace the read-only cover letter display with an editable contenteditable or textarea that auto-saves changes to the DB after a short debounce. Lets users refine the generated output without leaving the page.",cover-letter,Cover Letter Enhancement,5
Word count and estimated reading time indicator,Story,Low,"Show word count and estimated reading time (words / 200) below the cover letter output. Helps users keep it concise.",cover-letter,Cover Letter Enhancement,1
Job Application Tracker,Epic,High,"Users apply to multiple jobs simultaneously. Retold generates the resume but has no way to track what was sent where. A tracker extends the product session from generate to manage.",applications,,
Application tracker table with linked tailored resumes,Story,High,"Create a new /dashboard/applications page with a table of job applications: job title, company, status, date applied, and linked tailored resume. Add new JobApplication model to Prisma schema. Add Applications link to sidebar.",applications,Job Application Tracker,8
Application status workflow,Story,High,"Add a status field to job applications with a dropdown: Applied, Phone Screen, Interview, Offer, Rejected. Allow users to update status inline in the tracker table.",applications,Job Application Tracker,3
Link tailored resume to application record,Story,High,"When creating a new application entry, allow the user to link it to an existing tailored resume from a dropdown. Show the linked resume title in the tracker table with a link to the result page.",applications,Job Application Tracker,2
7-day follow-up reminder banner,Story,Medium,"7 days after an application is marked Applied with no status update, show an in-app banner on the dashboard prompting the user to follow up or update the status.",applications,Job Application Tracker,3
Dashboard widget showing open applications in progress,Story,Medium,"Add a stat card to the main dashboard showing the count of in-progress applications (Applied + Phone Screen + Interview). Links to /dashboard/applications.",applications,Job Application Tracker,2
Resume Intelligence,Epic,Medium,"The app analyzes the JD well but barely analyzes the resume itself. Quality signals at upload make the resume detail page more valuable and reduce poor-quality inputs to tailoring.",resume-quality,,
Action verb diversity score,Story,Medium,"Analyze the verbs used in resume bullet points and display a diversity score. Flag overused verbs (e.g. managed used 5 times) and suggest alternatives. Show on the resume detail page.",resume-quality,Resume Intelligence,3
Resume length feedback,Story,Medium,"Detect approximate page count from the resume text and show a warning if it exceeds 2 pages. ATS systems and recruiters typically prefer 1-2 page resumes. Show on the resume detail page alongside ATS warnings.",resume-quality,Resume Intelligence,2
Section completeness check,Story,Medium,"Check that the resume includes expected sections (Experience, Education, Skills, Summary or Objective). Flag any missing sections as a soft warning on the resume detail page.",resume-quality,Resume Intelligence,2
Skills gap trend: consistently missing skills across tailorings,Story,Medium,"Aggregate missing skills from KeywordMatchLog for a user across all their tailored resumes. Surface a list of skills that are frequently missing — these are genuine resume gaps worth addressing.",resume-quality,Resume Intelligence,5
Auto-suggest tailoring intensity based on pre-tailor match estimate,Story,Medium,"When the pre-tailor role fit estimate is available (see Epic 3), pre-select the recommended intensity level on the tailor form. For example: estimate <30% -> recommend Aggressive, 30-60% -> Moderate, 60%+ -> Conservative.",resume-quality,Resume Intelligence,3
Smart custom instruction suggestions from JD keywords,Story,Low,"When a JD is entered on the tailor form, suggest 2-3 pre-filled custom instruction snippets based on detected JD themes (e.g. leadership role detected: Emphasize your management experience). Users can click to insert.",resume-quality,Resume Intelligence,3
Sharing & Export Expansion,Epic,Medium,"Users share resumes with mentors, career coaches, and recruiters. Current flow requires manual download and attachment. Frictionless sharing increases perceived value.",sharing,,
Shareable read-only link for tailored resume,Story,High,"Generate a token-based shareable URL for a tailored resume that anyone can view without logging in. Token expires in 7 days by default. Add a Share button to the result page. New SharedResume model in Prisma.",sharing,Sharing & Export Expansion,5
Save to Google Drive,Story,Medium,"Add a Save to Google Drive option in the download menu. Authenticate via Google OAuth (reuse existing Google provider) and upload the DOCX file directly to the user's Drive.",sharing,Sharing & Export Expansion,5
Save to Dropbox,Story,Low,"Add a Save to Dropbox option in the download menu. Use Dropbox OAuth and their file upload API to save the DOCX to the user's Dropbox.",sharing,Sharing & Export Expansion,5
Engagement & Retention,Epic,Medium,"Long-term retention via value reminders and social proof. Lower priority but meaningful lifetime value impact.",retention,,
Monthly activity recap email,Story,Medium,"Send a monthly email summary to active users: number of tailorings, average keyword match score, most-applied-to companies. Use a transactional email provider (e.g. Resend or SendGrid).",retention,Engagement & Retention,5
Re-engagement nudge after 7 days inactive,Story,Low,"If a user has not generated a tailored resume in 7 days, show an in-app banner on the dashboard (not email) prompting them to tailor a resume. Dismiss once clicked.",retention,Engagement & Retention,3
Achievement milestones,Story,Low,"Celebrate key moments: first tailored resume, 10th tailored resume, first 80%+ keyword match score. Show a one-time congratulations banner when a milestone is hit.",retention,Engagement & Retention,5
Referral program: refer a friend for free month credit,Story,Medium,"Add a referral flow: users get a unique link, referred user signs up and upgrades, referrer gets one free month of their current plan. Use Stripe credit or manual override.",retention,Engagement & Retention,8
Agency & Team Workspaces,Epic,High,"Current Agency plan supports candidate labeling but not real team accounts. Agencies need shared workspaces with multiple seats and a client management view to scale their operations.",agency,,
Team workspace with seat-based member access,Story,High,"Introduce a Workspace model that multiple users can belong to. Agency plan owner can invite members. Members share access to resumes and tailored versions within the workspace.",agency,Agency & Team Workspaces,13
Invite team members by email,Story,High,"Workspace owner can invite colleagues by email. Invitees receive an email with an accept link. On accept they are added to the workspace with a member role.",agency,Agency & Team Workspaces,5
Multi-seat agency billing with per-seat pricing,Story,High,"Update Stripe billing for Agency plan to support per-seat pricing. Workspace owner pays for each active seat. Admin UI shows seat count and allows removing members.",agency,Agency & Team Workspaces,8
Client and candidate management dashboard,Story,Medium,"Add a Clients view for agency workspaces: group resumes and tailored versions by candidate. Show aggregate stats per candidate (resumes uploaded, tailorings done, avg match score).",agency,Agency & Team Workspaces,5
Bulk tailoring: one resume against multiple JDs,Story,Medium,"Allow users to submit a base resume against multiple job descriptions at once. Each JD generates a separate tailored resume. Results appear in a batch results view. Useful for agency recruiters applying to multiple openings.",agency,Agency & Team Workspaces,8
